时间戳：2024年05月09日10:39:40 股票代码：600990           item         value
0       sell_5  2.342000e+01
1   sell_5_vol  9.000000e+02
2       sell_4  2.341000e+01
3   sell_4_vol  1.000000e+03
4       sell_3  2.340000e+01
5   sell_3_vol  5.810000e+04
6       sell_2  2.339000e+01
7   sell_2_vol  9.000000e+03
8       sell_1  2.338000e+01
9   sell_1_vol  1.300000e+03
10       buy_1  2.336000e+01
11   buy_1_vol  3.000000e+03
12       buy_2  2.335000e+01
13   buy_2_vol  4.300000e+03
14       buy_3  2.334000e+01
15   buy_3_vol  2.300000e+03
16       buy_4  2.333000e+01
17   buy_4_vol  3.000000e+02
18       buy_5  2.331000e+01
19   buy_5_vol  4.000000e+03
20          最新  2.336000e+01
21          均价  2.325000e+01
22          涨幅  3.230000e+00
23          涨跌  7.300000e-01
24          总手  3.002960e+05
25          金额  6.980970e+08
26          换手  1.116000e+01
27          量比  5.550000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.368740e+05
35          内盘  1.634220e+05

时间戳：2024年05月09日10:39:45 股票代码：600990           item         value
0       sell_5  2.342000e+01
1   sell_5_vol  9.000000e+02
2       sell_4  2.341000e+01
3   sell_4_vol  1.000000e+03
4       sell_3  2.340000e+01
5   sell_3_vol  6.130000e+04
6       sell_2  2.339000e+01
7   sell_2_vol  9.000000e+03
8       sell_1  2.338000e+01
9   sell_1_vol  3.300000e+03
10       buy_1  2.336000e+01
11   buy_1_vol  2.000000e+03
12       buy_2  2.335000e+01
13   buy_2_vol  4.300000e+03
14       buy_3  2.334000e+01
15   buy_3_vol  2.300000e+03
16       buy_4  2.333000e+01
17   buy_4_vol  3.000000e+02
18       buy_5  2.331000e+01
19   buy_5_vol  4.000000e+03
20          最新  2.336000e+01
21          均价  2.325000e+01
22          涨幅  3.230000e+00
23          涨跌  7.300000e-01
24          总手  3.003060e+05
25          金额  6.981204e+08
26          换手  1.116000e+01
27          量比  5.550000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.368740e+05
35          内盘  1.634320e+05

时间戳：2024年05月09日10:39:50 股票代码：600990           item         value
0       sell_5  2.341000e+01
1   sell_5_vol  1.000000e+03
2       sell_4  2.340000e+01
3   sell_4_vol  6.100000e+04
4       sell_3  2.339000e+01
5   sell_3_vol  9.000000e+03
6       sell_2  2.338000e+01
7   sell_2_vol  4.200000e+03
8       sell_1  2.336000e+01
9   sell_1_vol  6.400000e+03
10       buy_1  2.335000e+01
11   buy_1_vol  4.300000e+03
12       buy_2  2.334000e+01
13   buy_2_vol  2.300000e+03
14       buy_3  2.333000e+01
15   buy_3_vol  3.000000e+02
16       buy_4  2.331000e+01
17   buy_4_vol  4.000000e+03
18       buy_5  2.330000e+01
19   buy_5_vol  5.000000e+03
20          最新  2.336000e+01
21          均价  2.325000e+01
22          涨幅  3.230000e+00
23          涨跌  7.300000e-01
24          总手  3.003360e+05
25          金额  6.981905e+08
26          换手  1.116000e+01
27          量比  5.550000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.368740e+05
35          内盘  1.634620e+05

时间戳：2024年05月09日10:39:55 股票代码：600990           item         value
0       sell_5  2.340000e+01
1   sell_5_vol  6.100000e+04
2       sell_4  2.339000e+01
3   sell_4_vol  9.000000e+03
4       sell_3  2.338000e+01
5   sell_3_vol  4.200000e+03
6       sell_2  2.336000e+01
7   sell_2_vol  5.300000e+03
8       sell_1  2.330000e+01
9   sell_1_vol  2.000000e+04
10       buy_1  2.329000e+01
11   buy_1_vol  3.800000e+03
12       buy_2  2.328000e+01
13   buy_2_vol  1.800000e+03
14       buy_3  2.327000e+01
15   buy_3_vol  6.000000e+02
16       buy_4  2.326000e+01
17   buy_4_vol  7.000000e+02
18       buy_5  2.325000e+01
19   buy_5_vol  1.000000e+03
20          最新  2.330000e+01
21          均价  2.325000e+01
22          涨幅  2.960000e+00
23          涨跌  6.700000e-01
24          总手  3.004810e+05
25          金额  6.985287e+08
26          换手  1.117000e+01
27          量比  5.550000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.368840e+05
35          内盘  1.635970e+05

时间戳：2024年05月09日10:40:00 股票代码：600990           item         value
0       sell_5  2.340000e+01
1   sell_5_vol  6.120000e+04
2       sell_4  2.339000e+01
3   sell_4_vol  7.100000e+03
4       sell_3  2.338000e+01
5   sell_3_vol  2.500000e+03
6       sell_2  2.336000e+01
7   sell_2_vol  6.000000e+03
8       sell_1  2.330000e+01
