时间,成交价,手数,买卖盘性质
09:15:03,8.88,54,中性盘
09:15:06,8.9,271,中性盘
09:15:09,8.8,1140,中性盘
09:15:12,8.8,1255,中性盘
09:15:15,8.8,2313,中性盘
09:15:18,8.8,2331,中性盘
09:15:24,8.8,2331,中性盘
09:15:30,8.8,2416,中性盘
09:15:33,8.72,3652,中性盘
09:15:36,8.72,3765,中性盘
09:15:39,8.72,3771,中性盘
09:15:45,8.6,6342,中性盘
09:15:48,8.6,6342,中性盘
09:15:51,8.6,6342,中性盘
09:15:54,8.6,6342,中性盘
09:15:57,8.6,6342,中性盘
09:16:00,8.6,6663,中性盘
09:16:03,8.6,6693,中性盘
09:16:06,8.6,6777,中性盘
09:16:09,8.51,6881,中性盘
09:16:12,8.51,6892,中性盘
09:16:15,8.51,6892,中性盘
09:16:18,8.51,6849,中性盘
09:16:21,8.51,6839,中性盘
09:16:24,8.51,6852,中性盘
09:16:27,8.51,6998,中性盘
09:16:30,8.51,7057,中性盘
09:16:33,8.51,7412,中性盘
09:16:36,8.51,7404,中性盘
09:16:39,8.51,7424,中性盘
09:16:42,8.51,7506,中性盘
09:16:45,8.51,7537,中性盘
09:16:48,8.51,7644,中性盘
09:16:51,8.51,7677,中性盘
09:16:54,8.51,7771,中性盘
09:16:57,8.51,8238,中性盘
09:17:00,8.51,8430,中性盘
09:17:03,8.51,8582,中性盘
09:17:06,8.51,8624,中性盘
09:17:09,8.51,8805,中性盘
09:17:12,8.51,8869,中性盘
09:17:15,8.51,9039,中性盘
09:17:18,8.51,9055,中性盘
09:17:21,8.51,9055,中性盘
09:17:24,8.51,8651,中性盘
09:17:27,8.51,8667,中性盘
09:17:30,8.51,8684,中性盘
09:17:33,8.51,8741,中性盘
09:17:36,8.51,8757,中性盘
09:17:39,8.51,8825,中性盘
09:17:42,8.51,8909,中性盘
09:17:45,8.51,8955,中性盘
09:17:48,8.51,9042,中性盘
09:17:51,8.51,9071,中性盘
09:17:54,8.51,9188,中性盘
09:17:57,8.51,9259,中性盘
09:18:00,8.51,9352,中性盘
09:18:03,8.51,9642,中性盘
09:18:06,8.51,9183,中性盘
09:18:09,8.51,9429,中性盘
09:18:12,8.51,9477,中性盘
09:18:15,8.51,9596,中性盘
09:18:18,8.51,9682,中性盘
09:18:21,8.51,10021,中性盘
09:18:24,8.51,10032,中性盘
09:18:27,8.51,10127,中性盘
09:18:30,8.51,11117,中性盘
09:18:33,8.51,11357,中性盘
09:18:36,8.51,11372,中性盘
09:18:39,8.51,11333,中性盘
09:18:42,8.51,11395,中性盘
09:18:45,8.51,11467,中性盘
09:18:48,8.51,11500,中性盘
09:18:51,8.51,11575,中性盘
09:18:54,8.51,11722,中性盘
09:18:57,8.51,11764,中性盘
09:19:00,8.51,11943,中性盘
09:19:03,8.51,11986,中性盘
09:19:06,8.51,12038,中性盘
09:19:09,8.51,12100,中性盘
09:19:12,8.51,12131,中性盘
09:19:15,8.51,12187,中性盘
09:19:18,8.51,12237,中性盘
09:19:21,8.51,12247,中性盘
09:19:24,8.51,12855,中性盘
09:19:27,8.51,12983,中性盘
09:19:30,8.51,13058,中性盘
09:19:33,8.51,13139,中性盘
09:19:36,8.51,10471,中性盘
09:19:39,8.51,10471,中性盘
09:19:42,8.51,10477,中性盘
09:19:45,8.51,10477,中性盘
09:19:48,8.72,2371,中性盘
09:19:51,8.72,2377,中性盘
09:19:54,8.72,2374,中性盘
09:19:57,8.72,2375,中性盘
09:20:00,8.72,2381,中性盘
09:20:03,8.72,2441,中性盘
09:20:06,8.7,3033,中性盘
09:20:09,8.7,3059,中性盘
09:20:12,8.7,3059,中性盘
09:20:15,8.68,3226,中性盘
09:20:18,8.7,3227,中性盘
09:20:21,8.7,3287,中性盘
09:20:24,8.7,3297,中性盘
09:20:27,8.7,3300,中性盘
09:20:30,8.7,3305,中性盘
09:20:33,8.57,6289,中性盘
09:20:36,8.58,6315,中性盘
09:20:39,8.58,6315,中性盘
09:20:42,8.58,6320,中性盘
09:20:45,8.58,6320,中性盘
09:20:48,8.58,6363,中性盘
09:20:51,8.58,6364,中性盘
09:20:54,8.58,6372,中性盘
09:20:57,8.58,6392,中性盘
09:21:00,8.58,6404,中性盘
09:21:03,8.58,6484,中性盘
09:21:06,8.58,6487,中性盘
09:21:09,8.58,6491,中性盘
09:21:12,8.58,6926,中性盘
09:21:15,8.58,6966,中性盘
09:21:18,8.58,6995,中性盘
09:21:21,8.58,7007,中性盘
09:21:24,8.58,7037,中性盘
09:21:27,8.58,7337,中性盘
