time,17:05:02
s5,-
s5v,----------------------------------------------------------------------------------------------------
s4,-
s4v,----------------------------------------------------------------------------------------------------
s3,-
s3v,----------------------------------------------------------------------------------------------------
s2,-
s2v,----------------------------------------------------------------------------------------------------
s1,-
s1v,----------------------------------------------------------------------------------------------------
b1,14.15
b1v,3965500
b2,14.14
b2v,12500
b3,14.13
b3v,7800
b4,14.12
b4v,500
b5,14.1
b5v,600
最新,14.15
均价,14.0
涨幅,10.03
涨跌,1.29
总手,521775
金额,730464630.0
换手,12.29
量比,11.0
最高,14.15
最低,13.13
今开,14.15
昨收,12.86
涨停,14.15
跌停,11.57
外盘,142711
内盘,379064

