时间,成交价,手数,买卖盘性质
09:15:00,6.48,1587,0
09:15:09,6.48,6124,0
09:15:18,6.48,6164,0
09:15:27,6.48,6374,0
09:15:36,6.48,6533,0
09:15:45,6.48,6748,0
09:15:54,6.48,6781,0
09:16:03,6.48,6785,0
09:16:12,6.48,6779,0
09:16:21,6.48,7430,0
09:16:30,6.48,7691,0
09:16:39,6.48,7585,0
09:16:48,6.48,7718,0
09:16:57,6.48,7679,0
09:17:06,6.48,7782,0
09:17:15,6.48,7783,0
09:17:24,6.48,8214,0
09:17:33,6.48,8235,0
09:17:42,6.48,8063,0
09:17:51,6.73,15109,0
09:18:00,6.73,15124,0
09:18:09,6.73,15175,0
09:18:18,6.73,15203,0
09:18:27,6.48,7431,0
09:18:36,6.48,7392,0
09:18:45,6.48,7445,0
09:18:54,6.48,7463,0
09:19:03,6.48,7498,0
09:19:12,6.48,7548,0
09:19:21,6.38,5492,0
09:19:30,6.46,6930,0
09:19:39,6.47,6949,0
09:19:48,6.48,7105,0
09:19:57,6.46,7199,0
09:20:00,6.46,7160,0
09:20:09,6.46,7247,0
09:20:18,6.46,7323,0
09:20:27,6.44,7453,0
09:20:36,6.44,7646,0
09:20:45,6.44,7796,0
09:20:54,6.44,8193,0
09:21:03,6.42,8374,0
09:21:12,6.4,8583,0
09:21:21,6.38,8849,0
09:21:30,6.36,8958,0
09:21:39,6.35,9014,0
09:21:48,6.32,9274,0
09:21:57,6.31,9343,0
09:22:06,6.31,10356,0
09:22:15,6.31,10552,0
09:22:24,6.31,11017,0
09:22:33,6.3,11408,0
09:22:42,6.28,11621,0
09:22:51,6.28,11979,0
09:23:00,6.25,12234,0
09:23:09,6.28,13273,0
09:23:18,6.25,13759,0
09:23:27,6.25,13842,0
09:23:36,6.25,14329,0
09:23:45,6.26,14735,0
09:23:54,6.26,16019,0
09:24:03,6.14,19340,0
09:24:12,6.14,20162,0
09:24:21,6.14,20923,0
09:24:30,6.14,22602,0
09:24:39,6.14,24206,0
09:24:48,6.14,25390,0
09:24:57,6.13,29599,0
09:25:00,6.13,38927,1
09:30:00,6.15,17508,1
09:30:03,6.16,17192,1
09:30:06,6.22,4003,1
09:30:09,6.25,816,1
09:30:12,6.27,3950,1
09:30:15,6.25,6348,-1
09:30:18,6.24,5364,-1
09:30:21,6.24,5130,1
09:30:24,6.25,9880,1
09:30:27,6.27,4320,1
09:30:30,6.28,3779,1
09:30:33,6.31,3594,1
09:30:36,6.28,5082,-1
09:30:39,6.29,4713,1
09:30:42,6.28,4052,-1
09:30:45,6.29,4255,1
09:30:48,6.28,4768,-1
09:30:51,6.27,8410,-1
09:30:54,6.26,5757,-1
09:30:57,6.26,4965,-1
09:31:00,6.25,3306,-1
09:31:03,6.24,4368,-1
09:31:06,6.27,7866,1
09:31:09,6.25,4798,-1
09:31:12,6.3,6629,1
09:31:15,6.3,913,-1
